N,Ne,tau,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful
12,1,0.2,0.5,10.819766521453857,,51.39458414177943,42.14710660984701,0.09247477531932426,True
12,1,0.2,1.0,9.824869632720947,,45.62358148422524,42.14700593194991,0.03476575552275328,True
12,1,0.2,2.0,49.86358022689819,,42.49401250591626,30.040200209690585,0.12453812296225675,True
12,1,0.5,0.5,10.87667965888977,,43.681162439864224,42.14700597149136,0.015341564683728635,True
12,1,0.5,1.0,21.917861700057983,,42.203040156068546,30.040000164868655,0.12163039991199892,True
12,1,0.5,2.0,14.340182304382324,60.0,36.46002006139529,0.015406803085173275,0.6074102209718354,True
12,1,0.75,0.5,18.337894201278687,,42.171934968848475,30.040012881130526,0.1213192208771795,True
12,1,0.75,1.0,17.72400689125061,79.0,36.48426931787252,0.006731433452411777,0.4617409858787356,True
12,1,0.75,2.0,13.457649230957031,46.0,30.364503703703328,0.006442716185448064,0.6599578475547365,True
12,2,0.2,0.5,9.303367853164673,,51.39458414177943,42.14700813583678,0.09247576005942655,True
12,2,0.2,1.0,10.574756145477295,,45.62358148422524,42.14700576754566,0.034765757166795835,True
12,2,0.2,2.0,40.72320747375488,,42.49401250591626,30.040009710207784,0.12454002795708476,True
12,2,0.5,0.5,11.145979881286621,,43.681162439864224,42.14700660264006,0.015341558372241621,True
12,2,0.5,1.0,20.4228093624115,,42.203040156068546,30.040072914991228,0.12162967241077319,True
12,2,0.5,2.0,6.334173917770386,60.0,36.46002006139529,0.013954247655097063,1.2148688604580065,True
12,2,0.75,0.5,17.973642826080322,,42.171934968848475,30.039999675010854,0.12131935293837622,True
12,2,0.75,1.0,8.374129056930542,78.0,36.48426931787252,0.008149364292263048,0.9352851270148782,True
12,2,0.75,2.0,5.955421686172485,44.0,30.364503703703328,0.008457600387482792,1.3798202774234474,True
12,3,0.2,0.5,9.921426057815552,,51.39458414177943,42.147006486942594,0.09247577654836839,True
12,3,0.2,1.0,11.271352291107178,,45.62358148422524,42.14700654289732,0.03476574941327918,True
12,3,0.2,2.0,19.528462409973145,,42.49401250591626,30.040003093156873,0.12454009412759387,True
12,3,0.5,0.5,12.763462781906128,,43.681162439864224,42.14700654577319,0.01534155894091036,True
12,3,0.5,1.0,20.87637686729431,,42.203040156068546,30.04009999999812,0.12162940156070427,True
12,3,0.5,2.0,4.228034019470215,60.0,36.46002006139529,0.014484344512343409,1.8222767858441475,True
12,3,0.75,0.5,16.247632265090942,,42.171934968848475,30.03999931168276,0.12131935657165716,True
12,3,0.75,1.0,5.799157619476318,78.0,36.48426931787252,0.006448851578519559,1.4029930948574614,True
12,3,0.75,2.0,3.541699171066284,45.0,30.364503703703328,0.006692522594264514,2.0238540787406043,True
18,1,0.2,0.5,10.522026300430298,,48.11850009871646,42.147014600744235,0.059714854979722246,True
18,1,0.2,1.0,12.397144556045532,,42.69999362529534,42.14700935090965,0.005529842743856932,True
18,1,0.2,2.0,25.575985193252563,,42.07438884664624,15.567032488680931,0.26507356357965306,True
18,1,0.5,0.5,17.501093864440918,,42.18438395371654,30.047349228859883,0.12137034724856659,True
18,1,0.5,1.0,29.442891120910645,,36.54502901754626,0.09504256338616034,0.36449986454160105,True
18,1,0.5,2.0,24.843092441558838,70.0,30.52725048010884,0.009062903546829378,0.43597410823660016,True
18,1,0.75,0.5,30.360154628753662,,42.163629455134526,17.639076819159808,0.24524552635974717,True
18,1,0.75,1.0,26.174165725708008,82.0,32.43,0.004414012468506913,0.3954339754577011,True
18,1,0.75,2.0,22.520190238952637,59.0,21.60836673964006,0.004016517499748159,0.3661754274939036,True
18,2,0.2,0.5,10.918095588684082,,48.11850009871646,42.14700647683071,0.05971493621885749,True
18,2,0.2,1.0,14.97037935256958,,42.69999362529534,36.164875979719184,0.06535117645576158,True
18,2,0.2,2.0,20.77467179298401,164.0,42.07438884664624,0.060213113876799035,0.5123679967410907,True
18,2,0.5,0.5,72.370370388031,,42.18438395371654,30.039999970975437,0.12144383982741104,True
18,2,0.5,1.0,14.962528944015503,118.0,36.54502901754626,0.010004344380063108,0.6192377063248509,True
18,2,0.5,2.0,12.134204387664795,68.0,30.52725048010884,0.010410329165658285,0.8975541220865642,True
18,2,0.75,0.5,23.867408990859985,182.0,42.163629455134526,0.003977114221766945,0.46329288286717313,True
18,2,0.75,1.0,13.116078615188599,82.0,32.43,0.004612178771491876,0.7908631175909391,True
18,2,0.75,2.0,12.706233739852905,58.0,21.60836673964006,0.004613520025154148,0.7449570075729279,True
18,3,0.2,0.5,11.257319927215576,,48.11850009871646,42.1470065429132,0.05971493555803256,True
18,3,0.2,1.0,11.920012712478638,,42.69999362529534,42.14710656114015,0.005528870641551933,True
18,3,0.2,2.0,14.494603633880615,165.0,42.07438884664624,0.05939502383459314,0.7639089785965754,True
18,3,0.5,0.5,19.861031770706177,,42.18438395371654,30.03999948380178,0.12144384469914762,True
18,3,0.5,1.0,10.34772253036499,117.0,36.54502901754626,0.012269694149535014,0.936737418548634,True
18,3,0.5,2.0,8.026124715805054,69.0,30.52725048010884,0.009310454688994605,1.3268669576269498,True
18,3,0.75,0.5,15.710681438446045,180.0,42.163629455134526,0.004359464679768935,0.7026544998409127,True
18,3,0.75,1.0,8.952691316604614,81.0,32.43,0.004729256460504908,1.2009359534644257,True
18,3,0.75,2.0,8.133036851882935,57.0,21.60836673964006,0.0051888504606102115,1.1370093625883921,True
30,1,0.2,0.5,14.398809432983398,,43.72616246964453,42.147292241879,0.015788702277655275,True
30,1,0.2,1.0,28.25808072090149,,42.286719362967695,30.069840788388223,0.12216878574579472,True
30,1,0.2,2.0,77.46187996864319,,36.89953825229642,1.1860057367338532,0.3571353251556257,True
30,1,0.5,0.5,40.911845684051514,,40.14728907831124,21.164915192898054,0.18982373885413184,True
30,1,0.5,1.0,60.90329051017761,,30.332053333333295,0.03760317924843553,0.3029445015408486,True
30,1,0.5,2.0,73.17793083190918,96.0,16.533101831621543,0.005646878796803633,0.17216098909192437,True
30,1,0.75,0.5,58.22620368003845,,36.21740041399959,8.56636469107439,0.276510357229252,True
30,1,0.75,1.0,68.48048567771912,,23.59266671933923,0.0032837218468928643,0.2358938299749234,True
30,1,0.75,2.0,119.8980131149292,92.0,1.5928849689043343,0.0025044661397548187,0.01728674459526717,True
30,2,0.2,0.5,14.285747289657593,,43.72616246964453,42.1470199805811,0.01579142489063429,True
30,2,0.2,1.0,39.366066455841064,,42.286719362967695,30.040050458315974,0.1224666890465172,True
30,2,0.2,2.0,33.123674392700195,154.0,36.89953825229642,0.033936943788324285,0.47877404296763765,True
30,2,0.5,0.5,43.263081312179565,,40.14728907831124,8.545339581625536,0.31601949496685705,True
30,2,0.5,1.0,37.99115180969238,128.0,30.332053333333295,0.005733371281756748,0.4738487494070553,True
30,2,0.5,2.0,34.30030608177185,96.0,16.533101831621543,0.005650463349415702,0.3443219035056693,True
30,2,0.75,0.5,37.382803440093994,160.0,36.21740041399959,0.002484337926728235,0.45268645095091076,True
30,2,0.75,1.0,32.43285512924194,104.0,23.59266671933923,0.0025030999136522493,0.45365699268126114,True
30,2,0.75,2.0,49.86899185180664,92.0,1.5928849689043343,0.0025449670109576766,0.03457260873681254,True
30,3,0.2,0.5,14.462164163589478,,43.72616246964453,42.147005835103485,0.01579156634541043,True
30,3,0.2,1.0,36.06722831726074,,42.286719362967695,30.040026824151013,0.12246692538816681,True
30,3,0.2,2.0,20.466002702713013,150.0,36.89953825229642,0.03960583717807476,0.737198648302367,True
30,3,0.5,0.5,33.15858221054077,252.0,40.14728907831124,0.0055979072999171224,0.47787727584537293,True
30,3,0.5,1.0,24.893694162368774,126.0,30.332053333333295,0.006241566086499497,0.7220431373153999,True
30,3,0.5,2.0,27.165650367736816,96.0,16.533101831621543,0.005415577816026335,0.5164901954314224,True
30,3,0.75,0.5,25.783796072006226,159.0,36.21740041399959,0.0027270307209103363,0.6832957242128053,True
30,3,0.75,1.0,24.349677085876465,102.0,23.59266671933923,0.002768985974895254,0.6938205215695392,True
30,3,0.75,2.0,29.249825716018677,90.0,1.5928849689043343,0.0027697943115584035,0.05300383915309253,True
